Country,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
Turkey,TR71,0.7,4.4,2.1,6.3,1,1.8,9.2,3.6,0.9
Turkey,TR72,0.3,3.7,2.1,6.6,1.3,2,9.6,3,0.4
Turkey,TR81,0.2,5.8,2,7,0.9,4,9.8,4.4,1.6
Turkey,TR82,0,6.6,2,5.5,1.4,4.8,9.6,2.6,1.1
Turkey,TR83,0,5.3,2,6.6,1.4,4.2,9.8,2.3,0.5
Turkey,TR90,0,6.2,1.9,7.4,3.7,5.2,9,2.3,0.7
Turkey,TRA1,0.7,4.2,1.2,8,1.2,2.6,9.4,1.2,0
Turkey,TRA2,0,4.8,1.2,4.5,0.3,0,7.5,3.2,0
Turkey,TRB1,0.4,4.7,0.9,7.3,2.6,1.1,9.2,3.2,0.1
Turkey,TRB2,0,3.1,0.9,7.4,0.7,0,8.6,0,0
Turkey,TRC1,0,2.9,0.4,5.8,1.6,0.4,9,1.7,0
Turkey,TRC2,0,3,0.4,5.4,1.4,0,8.4,0,0
Turkey,TRC3,0.5,1,0.4,7.8,3.2,0,8.8,1.2,0
United Kingdom,UKC,8,5.8,4.5,9.2,6,7.8,4.1,8.2,7
United Kingdom,UKD,8,6.7,4.9,8.9,5.9,5.8,4.4,9.5,6.9
United Kingdom,UKE,7.8,6.5,4.6,8.9,6.6,6.6,4.5,9.2,6.6
United Kingdom,UKF,7.9,7.4,4.9,9.4,7.4,6.2,5.3,9.9,6.9
United Kingdom,UKG,7.6,6.5,4.8,9,7.2,6.5,4.9,8.9,6.5
United Kingdom,UKH,8,8.3,5.9,9.6,8.4,6.2,5.5,10,6.6
United Kingdom,UKI,8.9,6.5,7.8,8.5,8.4,6.3,4.8,10,4.8
United Kingdom,UKJ,8.4,8.3,6.6,9.8,8.6,6.1,5.6,10,6.5
United Kingdom,UKK,8.3,8.2,5.6,9.7,8.6,6.1,5.8,10,7
United Kingdom,UKL,8.1,6.8,4.7,9.4,6.7,7,4.9,9,7.2
United Kingdom,UKM,8.4,7.2,5.4,8.7,4.8,7.9,4.7,9.3,5.6
United Kingdom,UKN,7.3,6.8,4.7,8.9,6.4,8.3,3.4,10,5.7
United States,US01,8.4,5.9,7.8,0.3,1.7,7.5,4.3,5.4,10
United States,US02,9.5,6.8,10,4,5.2,10,3.5,7.5,6.9
United States,US04,8.7,6.1,7.8,1,6.7,8.3,3,7.1,8.2
United States,US05,8.5,6.3,7.2,2.1,2.6,7.3,2.5,5.6,9.2
United States,US06,8.1,5.4,10,2.9,7.8,7.9,3.4,6.9,5.6
United States,US08,9.4,7.3,9.8,6.1,7,8.6,6,8.6,9.2
United States,US09,9.3,7.2,10,4.6,7.8,7.4,4.4,8.6,8.7
United States,US10,9,7,9.9,1.4,5.2,6.3,5.4,7.2,10
United States,US11,9.1,6.5,10,0,4,4.5,7.2,7.1,8.2
United States,US12,8.8,6.6,7.9,2.3,6.5,8.8,4,7.5,8.9
United States,US13,8.5,5.9,8.1,1.4,3.7,7.1,4.3,6.8,9.1
United States,US15,9.5,7.1,9.4,8,8.8,9.8,2.1,6.5,5.2
United States,US16,9.2,7.1,7.1,8,6.2,8.9,4.7,7.4,8.9
United States,US17,9,6.5,10,1.3,5.9,6.1,4.2,7.1,8.3
United States,US18,8.9,6.5,8.2,3.4,4.2,6.1,3.7,6.6,9.4
United States,US19,9.6,9.1,9.5,8.7,6.4,6.6,5.8,7.2,10
