Country,Region,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
Slovak Republic,East Slovakia,SK04,9.8,1.5,1.4,9.0,1.0,2.8,2.9,6.8,1.4
Slovenia,Eastern Slovenia,SI01,8.8,5.4,3.0,7.8,5.0,3.3,0.0,7.4,3.1
Slovenia,Western Slovenia,SI02,9.4,6.6,3.6,7.1,7.8,2.6,0.7,7.7,3.1
Spain,Galicia,ES11,4.1,1.7,3.8,10.0,8.9,7.7,4.3,5.9,6.6
Spain,Asturias,ES12,5.4,1.0,4.4,8.8,8.1,6.6,4.8,7.0,6.4
Spain,Cantabria,ES13,5.6,2.1,4.3,10.0,9.2,7.2,6.3,7.4,6.3
Spain,Basque Country,ES21,6.8,3.9,6.2,10.0,9.5,7.9,5.4,7.4,6.5
Spain,Navarra,ES22,5.8,3.4,5.9,9.9,10.0,6.3,5.7,7.1,6.5
Spain,La Rioja,ES23,5.0,2.0,4.6,9.9,9.7,6.3,6.5,6.4,6.6
Spain,Aragon,ES24,5.3,2.2,4.9,10.0,9.3,4.8,6.2,6.9,6.7
Spain,Madrid,ES30,6.5,2.6,5.5,9.7,10.0,5.9,6.6,8.3,5.2
Spain,Castile and León,ES41,4.8,1.8,4.2,10.0,10.0,6.8,6.2,6.1,7.2
Spain,Castile-La Mancha,ES42,3.1,0.8,3.2,10.0,9.6,6.1,7.2,6.2,5.8
Spain,Extremadura,ES43,2.2,0.2,2.8,10.0,8.1,7.1,6.8,5.6,6.1
Spain,Catalonia,ES51,4.5,1.8,5.1,9.0,9.3,5.7,5.0,7.6,5.2
Spain,Valencia,ES52,4.0,1.1,3.5,9.5,8.4,6.1,6.8,6.4,5.7
Spain,Balearic Islands,ES53,3.9,2.1,4.2,9.6,8.5,7.4,4.1,7.3,6.0
Spain,Andalusia,ES61,3.1,0.0,3.0,9.4,7.3,6.2,5.7,6.3,5.1
Spain,Murcia,ES62,3.1,1.0,3.1,9.6,8.3,5.9,6.8,6.5,4.8
Spain,Ceuta,ES63,2.2,0.0,4.0,5.5,6.3,5.7,2.5,7.9,1.9
Spain,Melilla,ES64,3.5,0.0,3.5,10.0,7.4,4.7,1.7,6.5,2.4
Spain,Canary Islands,ES70,3.4,0.6,3.1,9.7,8.3,8.1,3.8,6.7,4.1
Sweden,Stockholm,SE11,8.7,8.8,5.6,9.2,8.7,8.2,9.1,10.0,3.7
Sweden,East Middle Sweden,SE12,8.2,7.4,4.3,10.0,8.2,8.3,9.1,9.8,4.6
